name,position,age,height,league_rank,average_market_value,highest_market_value,team_fifa_points,total_played_minutes,average_minutes_played,average_assists_per_game,total_assists,assist_per_minute,average_goals_per_game,total_goals,goals_per_minute,total_yellow_cards,team_win_ratio,overall,data_year
Kasper Schmeichel,Goalkeeper,33,189,1,10750000.0,12000000.0,23.0,2970,90.0,0.0,0,0.0,0.0,0,0.0,2,0.5428571428571428,84.0,2021
Manuel Neuer,Goalkeeper,34,193,2,16250000.0,18000000.0,138.0,4140,90.0,0.0,0,0.0,0.0,0,0.0,1,0.8085106382978723,89.0,2021
Hugo Lloris,Goalkeeper,33,188,1,16250000.0,18000000.0,83.0,1718,85.9,0.0,0,0.0,0.0,0,0.0,0,0.3863636363636363,87.0,2021
Jimmy Briand,Attack,34,181,5,1800000.0,2000000.0,6.0,1527,69.4090909090909,0.0454545454545454,1,0.0006548788474132,0.3181818181818181,7,0.0045841519318926,1,0.3214285714285714,75.0,2021
Per Ciljan Skjelbred,Midfield,33,175,2,1575000.0,1750000.0,4.0,1757,70.28,0.0,0,0.0,0.0,0,0.0,5,0.3513513513513513,76.0,2021
Karim Benzema,Attack,32,185,3,36000000.0,40000000.0,124.0,3388,82.63414634146342,0.2439024390243902,10,0.0029515938606847,0.5365853658536585,22,0.0064935064935064,0,0.6363636363636364,89.0,2021
Thomas Mangani,Midfield,33,183,5,1800000.0,2000000.0,0.0,1874,78.08333333333333,0.0833333333333333,2,0.0010672358591248,0.0833333333333333,2,0.0010672358591248,0,0.3928571428571428,75.0,2021
Christian Gentner,Midfield,34,189,2,900000.0,1000000.0,5.0,2628,77.29411764705883,0.088235294117647,3,0.0011415525114155,0.1176470588235294,4,0.0015220700152207,4,0.3947368421052631,74.0,2021
Oscar Wendt,Defender,34,181,2,1350000.0,1500000.0,21.0,2167,69.90322580645162,0.1290322580645161,4,0.0018458698661744,0.064516129032258,2,0.0009229349330872,3,0.5476190476190477,75.0,2021
Corentin Jean,Attack,24,170,5,1866666.6666666665,2000000.0,0.0,6,6.0,0.0,0,0.0,0.0,0,0.0,0,0.1071428571428571,71.0,2021
Adam Bodzek,Midfield,34,184,2,362500.0,400000.0,0.0,2077,69.23333333333333,0.0,0,0.0,0.0,0,0.0,10,0.2368421052631578,70.0,2021
Federico Peluso,Defender,36,188,4,450000.0,500000.0,0.0,1227,64.57894736842105,0.1052631578947368,2,0.0016299918500407,0.0,0,0.0,4,0.3333333333333333,71.0,2021
Gianluca Pegolo,Goalkeeper,39,183,4,150000.0,150000.0,0.0,270,90.0,0.0,0,0.0,0.0,0,0.0,0,0.3333333333333333,70.0,2021
Valon Behrami,Midfield,35,184,4,537500.0,600000.0,0.0,724,65.81818181818181,0.0,0,0.0,0.0,0,0.0,3,0.25,75.0,2021
Franck Ribéry,Attack,37,170,4,3600000.0,4000000.0,0.0,888,68.3076923076923,0.1538461538461538,2,0.0022522522522522,0.2307692307692307,3,0.0033783783783783,1,0.3125,81.0,2021
Fabio Quagliarella,Attack,37,180,4,1800000.0,2000000.0,0.0,1906,86.63636363636364,0.1818181818181818,4,0.0020986358866736,0.4545454545454545,10,0.0052465897166841,2,0.2666666666666666,80.0,2021
Daniel Congré,Defender,35,185,5,450000.0,500000.0,0.0,1942,80.91666666666667,0.0416666666666666,1,0.0005149330587023,0.0,0,0.0,4,0.3928571428571428,74.0,2021
Robert Snodgrass,Attack,32,182,1,5400000.0,6000000.0,21.0,1582,63.28,0.2,5,0.0031605562579013,0.2,5,0.0031605562579013,4,0.2424242424242424,77.0,2021
Steve Mandanda,Goalkeeper,35,187,5,2633333.333333333,3000000.0,44.0,2371,87.81481481481481,0.0,0,0.0,0.0,0,0.0,1,0.5714285714285714,83.0,2021
Jérémy Morel,Defender,36,172,5,250000.0,250000.0,33.0,2166,86.64,0.04,1,0.0004616805170821,0.08,2,0.0009233610341643,2,0.4571428571428571,75.0,2021
Romain Salin,Goalkeeper,35,186,5,200000.0,200000.0,33.0,540,90.0,0.0,0,0.0,0.0,0,0.0,1,0.4571428571428571,72.0,2021
Rune Jarstein,Goalkeeper,35,192,2,1100000.0,1500000.0,4.0,2758,88.96774193548387,0.0,0,0.0,0.0,0,0.0,1,0.3513513513513513,77.0,2021
Antonio Candreva,Midfield,33,180,4,6500000.0,7000000.0,67.0,2033,67.76666666666667,0.2666666666666666,8,0.0039350713231677,0.1333333333333333,4,0.0019675356615838,7,0.6,78.0,2021
Salvatore Sirigu,Goalkeeper,33,192,4,7250000.0,8000000.0,2.5,3300,91.66666666666669,0.0,0,0.0,0.0,0,0.0,4,0.3333333333333333,84.0,2021
Sergio Ramos,Defender,34,184,3,16250000.0,18000000.0,124.0,3423,87.76923076923077,0.0,0,0.0,0.2564102564102564,10,0.0029214139643587,8,0.6363636363636364,89.0,2021
Valter Birsa,Midfield,33,184,4,1350000.0,1500000.0,0.0,197,28.142857142857142,0.0,0,0.0,0.0,0,0.0,0,0.3870967741935484,73.0,2021
Sergio Agüero,Attack,32,173,1,58500000.0,65000000.0,134.0,1829,63.06896551724138,0.1379310344827586,4,0.0021869874248223,0.6896551724137931,20,0.0109349371241115,1,0.6976744186046512,89.0,2021
Ragnar Klavan,Defender,34,187,4,1350000.0,1500000.0,0.0,2004,80.16,0.0,0,0.0,0.0,0,0.0,3,0.3870967741935484,74.0,2021
Lucas Biglia,Midfield,34,178,4,3150000.0,3500000.0,38.0,529,66.125,0.125,1,0.0018903591682419,0.0,0,0.0,3,0.4375,77.0,2021
Mathieu Debuchy,Defender,34,177,5,2250000.0,2500000.0,4.0,2100,84.0,0.08,2,0.0009523809523809,0.04,1,0.0004761904761904,2,0.2352941176470588,78.0,2021
Sidnei,Defender,30,184,3,9000000.0,10000000.0,21.0,952,79.33333333333333,0.0,0,0.0,0.0833333333333333,1,0.0010504201680672,0,0.3142857142857143,79.0,2021
Kévin Gameiro,Attack,33,172,3,7250000.0,8000000.0,40.0,1669,50.57575757575758,0.0606060606060606,2,0.0011983223487118,0.2121212121212121,7,0.0041941282204913,0,0.3863636363636363,79.0,2021
Iván Cuéllar,Goalkeeper,36,187,3,725000.0,800000.0,0.0,2070,90.0,0.0,0,0.0,0.0,0,0.0,3,0.2162162162162162,77.0,2021
Gary Cahill,Defender,34,193,1,5000000.0,6000000.0,0.0,2160,90.0,0.0416666666666666,1,0.0004629629629629,0.0,0,0.0,1,0.3333333333333333,77.0,2021
Daniele Padelli,Goalkeeper,34,191,4,725000.0,800000.0,67.0,540,90.0,0.0,0,0.0,0.0,0,0.0,0,0.6,73.0,2021
Lionel Messi,Attack,33,170,3,126000000.0,140000000.0,114.0,3181,85.97297297297297,0.5945945945945945,22,0.0069160641307764,0.7297297297297297,27,0.0084878968877711,7,0.6136363636363636,93.0,2021
Manolo Reina,Goalkeeper,35,186,3,300000.0,300000.0,0.0,2880,90.0,0.0,0,0.0,0.0,0,0.0,4,0.2777777777777778,71.0,2021
Thiago Silva,Defender,35,181,5,5600000.0,6000000.0,112.0,2124,75.85714285714286,0.0,0,0.0,0.0,0,0.0,2,0.8055555555555556,85.0,2021
Michael McGovern,Goalkeeper,35,190,1,325000.0,350000.0,0.0,248,82.66666666666667,0.0,0,0.0,0.0,0,0.0,0,0.2285714285714285,67.0,2021
Sami Khedira,Midfield,33,189,4,7000000.0,8500000.0,107.0,978,54.333333333333336,0.0555555555555555,1,0.0010224948875255,0.0,0,0.0,4,0.7142857142857143,81.0,2021
Daniele Dessena,Midfield,33,182,4,450000.0,500000.0,0.0,1136,75.73333333333333,0.1333333333333333,2,0.0017605633802816,0.0,0,0.0,6,0.1379310344827586,69.0,2021
Sven Bender,Midfield,31,186,2,8000000.0,9000000.0,53.0,3714,82.53333333333333,0.0444444444444444,2,0.0005385029617662,0.0666666666666666,3,0.0008077544426494,3,0.6041666666666666,81.0,2021
Lars Bender,Midfield,31,185,2,8000000.0,9000000.0,53.0,1809,72.36,0.04,1,0.0005527915975677,0.08,2,0.0011055831951354,4,0.6041666666666666,82.0,2021
Sergio Floccari,Attack,38,180,4,300000.0,300000.0,0.0,914,41.54545454545455,0.0,0,0.0,0.0454545454545454,1,0.0010940919037199,2,0.2258064516129032,71.0,2021
Sergio Romero,Goalkeeper,33,192,1,3150000.0,3500000.0,105.0,1110,92.5,0.0,0,0.0,0.0,0,0.0,0,0.5217391304347826,80.0,2021
Mike Frantz,Midfield,33,182,2,725000.0,800000.0,1.0,500,25.0,0.05,1,0.002,0.0,0,0.0,2,0.3888888888888889,69.0,2021
Martin Harnik,Attack,33,185,2,1250000.0,1500000.0,0.0,8,4.0,0.0,0,0.0,0.0,0,0.0,1,0.2894736842105263,71.0,2021
Markus Suttner,Defender,33,179,2,900000.0,1000000.0,0.0,1459,66.31818181818181,0.0454545454545454,1,0.0006854009595613,0.0,0,0.0,3,0.2368421052631578,73.0,2021
Mark Noble,Midfield,33,180,1,5400000.0,6000000.0,21.0,2353,81.13793103448276,0.0344827586206896,1,0.0004249893752656,0.1379310344827586,4,0.0016999575010624,5,0.2424242424242424,75.0,2021
Toni Kroos,Midfield,30,183,3,54000000.0,60000000.0,124.0,3090,81.3157894736842,0.2368421052631578,9,0.0029126213592233,0.1578947368421052,6,0.0019417475728155,3,0.6363636363636364,88.0,2021
Felix Kroos,Midfield,29,184,2,725000.0,800000.0,5.0,380,23.75,0.0,0,0.0,0.0,0,0.0,1,0.3947368421052631,69.0,2021
Armando Izzo,Defender,28,183,4,20333333.333333332,25000000.0,2.5,2742,88.45161290322581,0.0,0,0.0,0.096774193548387,3,0.0010940919037199,7,0.3333333333333333,79.0,2021
Tim Krul,Goalkeeper,32,193,1,4333333.333333333,5000000.0,0.0,2850,91.93548387096774,0.0,0,0.0,0.0,0,0.0,4,0.2285714285714285,75.0,2021
Luca Cigarini,Midfield,34,175,4,900000.0,1000000.0,0.0,1604,72.9090909090909,0.1818181818181818,4,0.0024937655860349,0.0,0,0.0,8,0.3870967741935484,73.0,2021
Gervinho,Attack,33,179,4,7166666.666666666,9000000.0,0.0,1791,77.8695652173913,0.1739130434782608,4,0.0022333891680625,0.3478260869565217,8,0.004466778336125,3,0.4193548387096774,78.0,2021
Lorenzo De Silvestri,Defender,32,187,4,3150000.0,3500000.0,2.5,2485,82.83333333333333,0.0333333333333333,1,0.0004024144869215,0.1,3,0.0012072434607645,1,0.3333333333333333,74.0,2021
Theo Walcott,Attack,31,175,1,14000000.0,15000000.0,3.0,1150,52.27272727272727,0.0909090909090909,2,0.0017391304347826,0.0454545454545454,1,0.0008695652173913,1,0.34375,76.0,2021
José Fonte,Defender,36,191,5,1350000.0,1500000.0,30.0,2565,88.44827586206897,0.0344827586206896,1,0.0003898635477582,0.0344827586206896,1,0.0003898635477582,5,0.4411764705882353,78.0,2021
Blaise Matuidi,Midfield,33,175,4,13833333.333333332,18000000.0,107.0,2388,66.33333333333333,0.0555555555555555,2,0.0008375209380234,0.0277777777777777,1,0.0004187604690117,6,0.7142857142857143,83.0,2021
Jessy Moulin,Goalkeeper,34,184,5,250000.0,250000.0,4.0,630,90.0,0.0,0,0.0,0.0,0,0.0,0,0.2352941176470588,70.0,2021
Tom Heaton,Goalkeeper,34,188,1,5600000.0,6000000.0,0.0,1795,89.75,0.0,0,0.0,0.0,0,0.0,0,0.2121212121212121,78.0,2021
Andrea Masiello,Defender,34,184,4,1233333.3333333333,1500000.0,0.0,1436,75.57894736842105,0.0526315789473684,1,0.0006963788300835,0.0,0,0.0,4,0.25,75.0,2021
Sokratis Papastathopoulos,Defender,32,186,1,16250000.0,18000000.0,80.0,2324,83.0,0.0,0,0.0,0.1071428571428571,3,0.0012908777969018,6,0.4186046511627907,79.0,2021
Richard Stearman,Defender,32,191,1,933333.3333333331,1000000.0,0.0,2,2.0,0.0,0,0.0,0.0,0,0.0,0,0.4,68.0,2021
Birkir Bjarnason,Midfield,32,184,4,900000.0,1000000.0,0.0,440,62.85714285714285,0.1428571428571428,1,0.0022727272727272,0.0,0,0.0,1,0.1379310344827586,68.0,2021
Julian Baumgartlinger,Midfield,32,184,2,2700000.0,3000000.0,53.0,2271,61.37837837837838,0.054054054054054,2,0.0008806693086745,0.054054054054054,2,0.0008806693086745,4,0.6041666666666666,77.0,2021
Axel Witsel,Midfield,31,186,2,24250000.0,27000000.0,78.0,3216,82.46153846153847,0.1282051282051282,5,0.0015547263681592,0.1025641025641025,4,0.0012437810945273,5,0.6086956521739131,84.0,2021
Marco Reus,Midfield,31,180,2,36000000.0,40000000.0,78.0,2120,81.53846153846153,0.2692307692307692,7,0.0033018867924528,0.4615384615384615,12,0.0056603773584905,2,0.6086956521739131,85.0,2021
Marcel Schmelzer,Defender,32,180,2,1550000.0,1700000.0,78.0,62,7.75,0.125,1,0.0161290322580645,0.125,1,0.0161290322580645,0,0.6086956521739131,74.0,2021
Stefano Okaka,Attack,30,186,4,3600000.0,4000000.0,0.0,1843,76.79166666666667,0.0833333333333333,2,0.0010851871947911,0.2083333333333333,5,0.0027129679869777,8,0.2903225806451613,75.0,2021
David McGoldrick,Attack,32,184,1,1800000.0,2000000.0,0.0,1615,64.6,0.08,2,0.0012383900928792,0.08,2,0.0012383900928792,2,0.4,74.0,2021
Mesut Özil,Midfield,31,180,1,19750000.0,22000000.0,80.0,1676,79.80952380952381,0.0952380952380952,2,0.0011933174224343,0.0476190476190476,1,0.0005966587112171,1,0.4186046511627907,82.0,2021
Simone Missiroli,Midfield,34,191,4,1350000.0,1500000.0,0.0,2439,84.10344827586206,0.0689655172413793,2,0.000820008200082,0.0344827586206896,1,0.000410004100041,9,0.2258064516129032,73.0,2021
Andrea Consigli,Goalkeeper,33,189,4,3150000.0,3500000.0,0.0,2160,90.0,0.0,0,0.0,0.0,0,0.0,1,0.3333333333333333,81.0,2021
Fin Bartels,Attack,33,176,2,900000.0,1000000.0,0.0,328,21.866666666666667,0.0,0,0.0,0.0,0,0.0,2,0.2894736842105263,73.0,2021
Simon Terodde,Attack,32,192,2,2700000.0,3000000.0,4.0,881,35.24,0.04,1,0.0011350737797956,0.16,4,0.0045402951191827,4,0.3055555555555556,74.0,2021
Gaëtan Bong,Defender,32,183,1,1266666.6666666665,2000000.0,0.0,128,25.6,0.0,0,0.0,0.0,0,0.0,0,0.2121212121212121,73.0,2021
Javi García,Midfield,33,187,3,1800000.0,2000000.0,21.0,450,56.25,0.0,0,0.0,0.0,0,0.0,2,0.3142857142857143,75.0,2021
Shane Long,Attack,33,180,1,3766666.6666666665,5000000.0,0.0,1433,62.30434782608695,0.1739130434782608,4,0.0027913468248429,0.1304347826086956,3,0.0020935101186322,1,0.3714285714285714,74.0,2021
Roberto,Goalkeeper,34,192,3,900000.0,1000000.0,0.0,935,85.0,0.0,0,0.0,0.0,0,0.0,0,0.2727272727272727,75.0,2021
Dimitri Payet,Midfield,33,175,5,11250000.0,12500000.0,44.0,1937,88.04545454545455,0.1818181818181818,4,0.0020650490449148,0.409090909090909,9,0.0046463603510583,5,0.5714285714285714,82.0,2021
Arturo Vidal,Midfield,33,180,3,12500000.0,14000000.0,114.0,1836,49.62162162162162,0.1081081081081081,4,0.0021786492374727,0.1891891891891891,7,0.0038126361655773,8,0.6136363636363636,83.0,2021
Daniel Carriço,Defender,31,183,3,2250000.0,2500000.0,91.0,938,78.16666666666667,0.0,0,0.0,0.0,0,0.0,3,0.5111111111111111,76.0,2021
Felipe Caicedo,Attack,31,183,4,4600000.0,6000000.0,53.0,1563,48.84375,0.1875,6,0.0038387715930902,0.25,8,0.0051183621241202,6,0.6578947368421053,78.0,2021
Sebastian Prödl,Defender,33,194,1,1733333.3333333333,2500000.0,0.0,57,57.0,0.0,0,0.0,0.0,0,0.0,0,0.1764705882352941,72.0,2021
Robert Lewandowski,Attack,31,185,2,63000000.0,70000000.0,138.0,3684,87.71428571428571,0.1428571428571428,6,0.001628664495114,1.1666666666666667,49,0.013300760043431,6,0.8085106382978723,91.0,2021
Daniel Caligiuri,Attack,32,182,2,4500000.0,5000000.0,0.0,2466,82.2,0.1666666666666666,5,0.0020275750202757,0.1333333333333333,4,0.0016220600162206,5,0.3157894736842105,77.0,2021
Federico Di Francesco,Attack,26,171,4,4500000.0,5000000.0,0.0,1033,64.5625,0.1875,3,0.0029041626331074,0.1875,3,0.0029041626331074,4,0.2258064516129032,76.0,2021
Ralf Fährmann,Goalkeeper,31,197,1,2650000.0,4000000.0,0.0,112,56.0,0.0,0,0.0,0.0,0,0.0,0,0.2285714285714285,77.0,2021
Danny Latza,Midfield,30,179,2,3150000.0,3500000.0,0.0,1437,59.875,0.125,3,0.0020876826722338,0.0,0,0.0,8,0.3142857142857143,74.0,2021
Rodrigo Palacio,Attack,38,176,4,450000.0,500000.0,0.0,2117,75.60714285714286,0.1071428571428571,3,0.0014170996693434,0.25,7,0.0033065658951346,3,0.3666666666666666,75.0,2021
Ádám Szalai,Attack,32,193,2,1800000.0,2000000.0,0.0,1213,43.32142857142857,0.0357142857142857,1,0.0008244023083264,0.0714285714285714,2,0.0016488046166529,1,0.3142857142857143,71.0,2021
Gonzalo Higuaín,Attack,32,184,4,28750000.0,32000000.0,107.0,2179,60.52777777777778,0.2222222222222222,8,0.0036714089031665,0.25,9,0.0041303350160624,3,0.7142857142857143,83.0,2021
Gareth Bale,Attack,30,186,3,36000000.0,40000000.0,124.0,1260,63.0,0.1,2,0.0015873015873015,0.15,3,0.0023809523809523,4,0.6363636363636364,83.0,2021
Mats Hummels,Defender,31,191,2,27000000.0,30000000.0,78.0,3483,84.95121951219512,0.073170731707317,3,0.0008613264427217,0.024390243902439,1,0.0002871088142405,10,0.6086956521739131,86.0,2021
Antonino Barillà,Midfield,32,180,4,1350000.0,1500000.0,0.0,1510,68.63636363636364,0.0454545454545454,1,0.0006622516556291,0.0454545454545454,1,0.0006622516556291,5,0.4193548387096774,71.0,2021
Pape Diop,Midfield,34,180,3,1350000.0,1500000.0,0.0,1834,76.41666666666667,0.0,0,0.0,0.0416666666666666,1,0.0005452562704471,6,0.3142857142857143,71.0,2021
Stéphane Ruffier,Goalkeeper,33,188,5,2700000.0,3000000.0,4.0,2340,90.0,0.0,0,0.0,0.0,0,0.0,1,0.2352941176470588,81.0,2021
Ludovic Baal,Defender,34,176,5,362500.0,400000.0,0.0,825,75.0,0.0,0,0.0,0.0,0,0.0,1,0.2857142857142857,71.0,2021
Régis Gurtner,Goalkeeper,33,182,5,1150000.0,1300000.0,0.0,2520,90.0,0.0,0,0.0,0.0,0,0.0,0,0.1428571428571428,77.0,2021
Leonardo Bonucci,Defender,33,189,4,22500000.0,25000000.0,107.0,3484,89.33333333333333,0.0,0,0.0,0.1025641025641025,4,0.0011481056257175,8,0.7142857142857143,85.0,2021
Stefan Ilsanker,Midfield,31,189,2,2800000.0,3000000.0,61.0,1679,69.95833333333333,0.0416666666666666,1,0.0005955926146515,0.0833333333333333,2,0.0011911852293031,7,0.4716981132075472,74.0,2021
Borja Valero,Midfield,35,175,4,1350000.0,1500000.0,67.0,948,52.66666666666666,0.0,0,0.0,0.1666666666666666,3,0.0031645569620253,4,0.6,77.0,2021
Claudio Bravo,Goalkeeper,37,184,1,1350000.0,1500000.0,134.0,922,83.81818181818181,0.0,0,0.0,0.0,0,0.0,0,0.6976744186046512,73.0,2021
Alexis Sánchez,Attack,31,169,4,20333333.333333332,25000000.0,67.0,705,37.10526315789474,0.2105263157894736,4,0.0056737588652482,0.0526315789473684,1,0.001418439716312,3,0.6,80.0,2021
Ryan Bertrand,Defender,30,179,1,11750000.0,13000000.0,0.0,2474,85.3103448275862,0.0344827586206896,1,0.0004042037186742,0.0344827586206896,1,0.0004042037186742,4,0.3714285714285714,78.0,2021
Jack Cork,Midfield,31,185,1,13500000.0,15000000.0,2.5,2773,86.65625,0.0,0,0.0,0.0,0,0.0,1,0.4117647058823529,77.0,2021
Milan Badelj,Midfield,31,186,4,3850000.0,5000000.0,0.0,1604,72.9090909090909,0.0,0,0.0,0.0454545454545454,1,0.0006234413965087,3,0.3125,76.0,2021
Sven Ulreich,Goalkeeper,31,192,2,4000000.0,4500000.0,138.0,90,90.0,0.0,0,0.0,0.0,0,0.0,0,0.8085106382978723,79.0,2021
Andreas Luthe,Goalkeeper,33,195,2,450000.0,500000.0,0.0,900,90.0,0.0,0,0.0,0.0,0,0.0,0,0.2571428571428571,74.0,2021
Lucas Leiva,Midfield,33,179,4,6750000.0,7500000.0,53.0,2030,75.18518518518519,0.037037037037037,1,0.0004926108374384,0.0,0,0.0,12,0.6578947368421053,84.0,2021
James McArthur,Midfield,32,178,1,5400000.0,6000000.0,0.0,2729,85.28125,0.125,4,0.0014657383657017,0.0,0,0.0,5,0.3333333333333333,75.0,2021
Simone Aresti,Goalkeeper,34,187,4,187500.0,200000.0,0.0,49,49.0,0.0,0,0.0,0.0,0,0.0,0,0.3870967741935484,67.0,2021
Radja Nainggolan,Midfield,32,177,4,18666666.666666664,20000000.0,0.0,2002,80.08,0.24,6,0.0029970029970029,0.24,6,0.0029970029970029,6,0.3870967741935484,83.0,2021
Yann Sommer,Goalkeeper,31,183,2,10750000.0,12000000.0,21.0,3780,90.0,0.0,0,0.0,0.0,0,0.0,0,0.5476190476190477,86.0,2021
